# Constructed from biom file
#OTU ID	KarstCh1	KarstCh2	KarstCh3	KarstCh4	KarstCh5	KarstCh6	KarstCh7	KarstCh8
d01bdeb6f3e3d0cf16e86a9cff59c189	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0
c56147a26c80680a2dd7cc56970645bf	0.0	0.0	0.0	0.0	12.0	9.0	10.0	0.0
11711af0b6ab63051017637e91eb836a	0.0	0.0	0.0	0.0	0.0	22.0	9.0	0.0
2c679b44b76690d632ec7437815b9b65	3.0	3.0	0.0	0.0	0.0	5.0	12.0	7.0
8f424d740f5f10c0dd0d12208c158564	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0
90f39a3bac5035a1fcba7bac62b1b313	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0
07ba970bdffe2dc4d7e1b5bdd534dfad	0.0	24.0	6.0	0.0	0.0	0.0	0.0	0.0
aee61f5d299f63f7db4f0362927af3a1	0.0	4.0	0.0	5.0	0.0	21.0	0.0	0.0
1d77cc048e52a298e200dd4158208eaf	0.0	2.0	0.0	0.0	4.0	7.0	12.0	5.0
48ce274911ca9bfd4cf8432980ff9869	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0
86e1a70e04e7322e97f1e3c4c0a8721e	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0
73aadc0c3a036f613ea7ff3c5d416764	0.0	0.0	0.0	0.0	7.0	9.0	11.0	3.0
a0cd12ab86672a4427d2a292bcaa075c	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0
aeba9c154052342739a86b3df15d38e2	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0
c48dc2b94eee8129d3ea99a03863052d	10.0	0.0	0.0	3.0	8.0	6.0	0.0	2.0
e77edd39f623737bc81b9c684d43e788	3.0	4.0	8.0	0.0	0.0	8.0	2.0	4.0
be2688e5a0a7cdb38858dcfdeb6ddef2	7.0	9.0	7.0	5.0	0.0	0.0	0.0	0.0
6c29e3deadf3c1f592932179cc690750	2.0	4.0	3.0	2.0	6.0	6.0	0.0	5.0
90abf6ca0ad395fafb14710febc51557	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0
36d3bc6964f7863f514d1a1af494bec8	0.0	20.0	5.0	0.0	0.0	0.0	3.0	0.0
b37615013e65b03f88d667969d99760c	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0
3863e33131466f00e0e6b499067a2e83	16.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
527de6bd838ec075579d90d8669c9998	8.0	0.0	6.0	0.0	0.0	0.0	0.0	13.0
7e2f45d7c743b5f2f864aea11e7bf806	0.0	10.0	5.0	2.0	6.0	0.0	4.0	0.0
abdc29f29e4e95b0001d20a00e74f239	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0
24103c12020056bada8a5b68a43f0911	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0
00dddc8d84271cf8820f7e81ec706c7b	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0
fcb9b6a2afd625c91b6abdd378bbc763	5.0	4.0	4.0	0.0	0.0	4.0	3.0	6.0
ee32f041c5c0b7d52c7212f20e8c19ee	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0
6c0aca3d5a4ca64001e0e6690b841cb5	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0
ab5ea6019b90e3c2e54ea65009d9b92d	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0
f9ade1f13fccb8a7b6677a0404afe49e	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0
5901f299a3f3c534e42cb1fa0963ee5d	6.0	0.0	4.0	0.0	3.0	7.0	0.0	5.0
64720d1f5938c3aa57dc47563776b570	6.0	5.0	10.0	4.0	0.0	0.0	0.0	0.0
7747b3585c6618aa96ff9c572e6350ae	2.0	5.0	9.0	9.0	0.0	0.0	0.0	0.0
627b4a9d672b9903263c7fa91a3135d1	0.0	4.0	3.0	0.0	3.0	7.0	4.0	4.0
582a7bf398ef463541d1a5269795ebb5	0.0	4.0	3.0	7.0	2.0	5.0	4.0	0.0
2cfee0a75b2d7b5c67e91a084451fe1c	0.0	0.0	11.0	0.0	0.0	0.0	0.0	14.0
3d54d22d81d4aaf80ec8ac2adcc33e81	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0
7670fde724790111458341e932740533	0.0	0.0	0.0	0.0	14.0	0.0	4.0	7.0
4de76b2fdd060d3bfbdc4e0641a12a4e	6.0	7.0	7.0	4.0	0.0	0.0	0.0	0.0
bb693a18c26953bbadff0c064e56a2d0	0.0	2.0	0.0	0.0	4.0	9.0	0.0	9.0
10ab0d5b28d0e981ee087dc3a240a105	0.0	0.0	4.0	4.0	0.0	7.0	7.0	2.0
8db8d0de4d36589c5d52413b8958ca04	0.0	0.0	2.0	0.0	4.0	11.0	5.0	2.0
0a7b682ace351be0430ed4716ab8c220	0.0	0.0	0.0	0.0	19.0	0.0	5.0	0.0
d223807eb13a1c646cfc7ff2d06c82b5	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0
4608c62b65e937ab2a7edd1e3f3b70af	0.0	0.0	0.0	7.0	16.0	0.0	0.0	0.0
db29f2d263d8a05a1db0c071c31676c4	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0
2f3f0340a43289a20bd9ae3b040bf89c	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0
